,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
2011-02-01,-12.92%,-15.90%,3.82%,-11.54%,-4.27%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-03-01,-18.50%,-5.18%,2.52%,-20.05%,-6.32%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-04-01,-6.54%,22.49%,17.20%,2.64%,-8.62%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-05-01,2.34%,-19.01%,-15.46%,-4.50%,-21.63%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-06-01,-11.81%,-18.23%,-4.95%,-3.02%,-10.74%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-07-01,34.70%,13.69%,0.09%,-7.84%,-3.75%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-08-01,36.92%,-0.56%,22.02%,17.60%,46.42%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-09-01,13.52%,18.51%,27.80%,-8.07%,1.89%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-10-01,-9.69%,-16.94%,-21.53%,-24.67%,-6.93%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-11-01,2.29%,-19.26%,-6.16%,-22.50%,-22.86%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-12-01,-0.95%,-25.14%,0.37%,-34.64%,-15.13%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-01-01,-14.97%,-23.09%,-21.90%,-2.63%,-23.43%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-02-01,-14.19%,5.56%,-8.06%,-6.91%,-2.69%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-03-01,-8.55%,-10.70%,-12.50%,-21.07%,-14.41%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-04-01,2.06%,-18.73%,-13.48%,-6.04%,-16.27%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-05-01,50.50%,41.04%,19.14%,12.62%,13.66%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-06-01,-13.35%,-23.16%,13.76%,19.94%,-17.72%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-07-01,-3.94%,-16.71%,19.23%,29.81%,-8.04%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-08-01,-6.61%,-20.73%,-10.33%,-13.86%,-2.51%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-09-01,-14.07%,-15.18%,-7.15%,-11.36%,-17.15%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-10-01,-26.63%,-19.85%,-24.65%,-27.02%,-15.01%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-11-01,-18.72%,-6.09%,-9.19%,-17.48%,-18.91%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2012-12-01,-17.72%,9.95%,3.43%,-13.90%,-2.53%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-01-01,2.66%,12.55%,-18.55%,-4.23%,12.75%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-02-01,-8.32%,11.83%,1.99%,-28.35%,18.30%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-03-01,-1.87%,-15.38%,-15.92%,15.50%,-3.32%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-04-01,11.26%,-1.58%,41.44%,-26.90%,-8.73%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-05-01,11.08%,-0.19%,-6.66%,-10.99%,19.06%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-06-01,33.60%,7.95%,8.96%,14.72%,-2.05%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-07-01,-12.80%,-10.46%,0.68%,-20.03%,-0.52%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-08-01,-2.48%,-21.88%,28.33%,-28.59%,-11.30%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-09-01,-2.81%,0.59%,-18.71%,-24.61%,-12.48%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-10-01,-15.30%,-18.11%,-10.64%,-3.58%,4.90%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-11-01,-12.15%,2.19%,-7.81%,-28.88%,-9.43%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2013-12-01,-2.61%,-1.57%,2.57%,-5.33%,0.01%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-01-01,-2.53%,-23.25%,-10.01%,-17.51%,-12.58%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-02-01,-11.42%,-15.46%,21.62%,-29.36%,-4.96%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-03-01,-20.81%,-15.63%,19.91%,-25.46%,-10.38%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-04-01,-10.16%,-27.94%,-17.79%,-15.97%,-12.50%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-05-01,9.34%,-13.15%,-12.22%,-15.86%,-12.33%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-06-01,-18.41%,-17.78%,1.06%,-10.62%,-17.31%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-07-01,-7.84%,-9.18%,9.83%,-8.83%,-8.13%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-08-01,15.90%,19.81%,-17.00%,-11.37%,-12.40%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-09-01,-12.65%,37.26%,42.87%,-20.58%,2.86%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-10-01,8.79%,7.27%,21.98%,1.21%,8.61%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-11-01,1.98%,16.73%,0.57%,-19.08%,-1.87%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2014-12-01,9.17%,-2.81%,6.52%,-6.96%,11.87%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-01-01,37.30%,69.10%,5.88%,-4.46%,-7.52%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-02-01,-2.02%,-18.79%,-6.62%,-6.10%,26.65%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-03-01,0.47%,14.63%,-18.19%,-16.00%,-5.51%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-04-01,-4.06%,-5.78%,-11.09%,-12.85%,-12.99%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-05-01,12.61%,-1.11%,-12.91%,-35.13%,-23.40%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-06-01,6.04%,-2.12%,31.58%,1.30%,-2.45%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-07-01,-18.70%,-18.27%,9.71%,-31.05%,-26.90%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-08-01,5.87%,3.66%,7.33%,-21.39%,66.62%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-09-01,-11.10%,-11.93%,-18.18%,-7.20%,-9.17%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-10-01,-16.58%,-17.17%,-19.75%,-11.56%,-10.23%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-11-01,-9.24%,17.30%,-4.29%,7.31%,-15.88%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2015-12-01,-18.73%,-10.02%,-4.39%,-15.28%,-0.81%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-01-01,24.50%,4.75%,-11.16%,-8.00%,0.72%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-02-01,9.17%,19.88%,7.29%,-25.16%,-6.02%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-03-01,-19.33%,-14.37%,-13.32%,-42.21%,-15.61%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-04-01,-18.36%,3.90%,33.86%,-17.48%,-4.66%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-05-01,-6.71%,-22.32%,-14.99%,-14.45%,-13.99%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-06-01,16.72%,22.60%,15.62%,36.63%,7.37%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-07-01,-1.91%,-16.43%,16.11%,-11.58%,1.31%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-08-01,-10.31%,-14.92%,-6.90%,-10.87%,-12.09%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-09-01,-4.86%,-14.51%,-21.60%,2.32%,-5.79%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-10-01,5.76%,8.13%,2.90%,-15.01%,-15.11%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-11-01,23.23%,47.21%,5.60%,-22.43%,-14.86%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2016-12-01,-12.54%,-8.75%,-7.27%,-12.60%,2.64%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-01-01,-21.50%,-15.80%,-20.23%,-18.80%,-15.97%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-02-01,-9.78%,-31.81%,-6.72%,-27.39%,7.66%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-03-01,-16.82%,-15.66%,-6.04%,-13.65%,-19.80%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-04-01,-4.68%,-4.59%,-10.80%,-12.64%,-20.64%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-05-01,-10.77%,9.58%,-9.04%,-14.00%,-5.51%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-06-01,-9.15%,-6.48%,0.17%,9.79%,-12.04%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-07-01,-15.48%,12.24%,-5.40%,-26.14%,-27.01%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-08-01,-2.01%,-19.78%,6.04%,-24.08%,-30.44%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-09-01,-11.57%,3.29%,-13.89%,3.43%,-18.48%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-10-01,-15.54%,-2.39%,-5.92%,-15.42%,1.98%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-11-01,-8.06%,-26.78%,-12.22%,-22.50%,6.70%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2017-12-01,-11.31%,-11.90%,0.84%,-7.32%,-1.92%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-01-01,20.99%,51.27%,0.45%,-12.39%,19.71%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-02-01,-9.21%,-8.44%,3.92%,50.13%,20.19%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-03-01,-0.55%,-10.84%,-8.95%,8.49%,-1.02%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-04-01,-21.93%,14.05%,-2.97%,-23.58%,-12.05%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-05-01,27.01%,29.08%,-15.24%,-7.48%,-6.62%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-06-01,-14.38%,-8.83%,30.65%,-9.55%,-0.09%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-07-01,-19.83%,-17.93%,-3.51%,-17.95%,-16.12%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-08-01,4.25%,11.79%,1.17%,-8.96%,-0.44%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-09-01,-5.65%,-3.27%,-4.85%,-17.28%,-13.53%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-10-01,-2.51%,6.58%,-5.42%,0.15%,45.00%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-11-01,-15.53%,-15.93%,6.62%,-16.29%,-9.16%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2018-12-01,26.17%,-1.70%,-2.78%,1.23%,18.84%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2019-01-01,8.27%,-20.60%,-19.34%,-22.76%,-16.29%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-02-01,-1.79%,-12.24%,-5.93%,-5.90%,16.53%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-03-01,34.03%,-4.00%,2.74%,9.91%,-4.67%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-04-01,-22.60%,-16.96%,9.69%,0.28%,-1.59%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-05-01,42.50%,6.48%,38.81%,12.34%,-5.79%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-06-01,7.37%,-5.29%,8.97%,20.81%,3.49%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-07-01,4.60%,1.64%,-7.13%,-18.47%,3.36%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-08-01,60.88%,1.04%,11.54%,-9.05%,-15.97%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-09-01,-13.65%,-12.81%,-1.89%,0.13%,-11.54%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-10-01,-4.96%,-20.11%,-15.90%,-12.21%,-22.99%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-11-01,-5.16%,-8.65%,-1.91%,-17.23%,6.74%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2019-12-01,10.72%,3.00%,4.26%,-26.18%,3.70%,,,28.28,-6.17,-10.37,4.25,-3.07,2.15
2020-01-01,5.80%,-18.87%,-7.14%,-2.42%,4.54%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-02-01,31.98%,37.20%,22.19%,64.39%,83.49%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-03-01,104.70%,99.84%,75.42%,38.36%,88.50%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-04-01,-11.38%,-15.36%,3.73%,11.83%,-13.83%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-05-01,-13.38%,-3.46%,-3.86%,0.25%,-2.98%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-06-01,3.55%,4.00%,-9.36%,-18.76%,-1.35%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-07-01,-2.13%,39.71%,12.62%,1.40%,-19.99%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-08-01,-8.45%,-2.66%,13.97%,-20.89%,-7.37%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-09-01,-18.60%,-4.23%,7.33%,-15.49%,-7.98%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-10-01,2.85%,-18.61%,2.22%,-16.92%,-6.60%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-11-01,-15.55%,-26.04%,0.48%,-29.54%,0.88%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2020-12-01,-16.44%,-2.36%,18.11%,-0.74%,-1.49%,,,23.66,3.02,-46.1,-4.93,-12.1,0.45
2021-01-01,-11.83%,-21.10%,11.93%,-17.61%,2.74%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-02-01,125.77%,11.43%,-10.10%,-3.02%,-20.77%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-03-01,-0.68%,9.80%,-15.05%,-30.68%,-24.02%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-04-01,-8.25%,-26.40%,9.36%,-23.93%,11.02%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-05-01,-12.05%,2.24%,0.86%,16.71%,-5.81%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-06-01,4.66%,4.01%,0.35%,-19.77%,-12.23%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-07-01,40.82%,-17.79%,-18.00%,-8.94%,-3.97%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-08-01,19.05%,-13.48%,-10.95%,-31.89%,-10.86%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-09-01,17.13%,4.95%,-3.11%,14.79%,-5.65%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-10-01,38.07%,-3.37%,-4.95%,45.43%,-15.74%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-11-01,6.84%,10.29%,3.86%,-28.42%,-10.30%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2021-12-01,-18.43%,-23.26%,-17.69%,-2.66%,-15.36%,,,23.57,-1.05,25.39,26.74,12.16,0.04
2022-01-01,12.78%,-3.84%,14.97%,-2.04%,16.10%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-02-01,28.63%,-18.58%,27.23%,0.55%,-3.99%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-03-01,66.10%,19.60%,13.30%,31.93%,-2.38%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-04-01,29.48%,52.85%,-12.53%,56.20%,-6.16%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-05-01,-0.01%,2.06%,-8.31%,-5.09%,-17.35%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-06-01,61.11%,23.04%,1.58%,123.13%,2.00%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-07-01,30.98%,-5.87%,2.39%,-0.50%,-20.70%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-08-01,9.06%,3.84%,-10.20%,4.30%,-13.67%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-09-01,38.75%,22.77%,-2.94%,35.24%,12.07%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-10-01,6.33%,-11.34%,-22.91%,0.20%,-26.92%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-11-01,4.26%,14.42%,-10.36%,-4.29%,9.99%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2022-12-01,59.02%,-10.04%,3.10%,-11.73%,-15.52%,,,-21.58,-1.69,25.97,6.67,22.54,1.43
2023-01-01,-18.30%,-12.39%,-16.39%,-30.77%,-4.10%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-02-01,5.88%,-18.90%,-5.60%,-4.19%,-12.32%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-03-01,0.77%,3.79%,3.51%,174.31%,0.04%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-04-01,-17.11%,-1.47%,-4.59%,-9.17%,-13.14%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-05-01,-12.70%,-9.19%,4.91%,-6.54%,-19.06%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-06-01,-14.29%,-3.59%,13.72%,11.50%,-11.53%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-07-01,-8.54%,8.84%,-2.90%,-19.59%,16.47%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-08-01,-6.97%,-4.72%,-12.05%,-11.32%,-29.91%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-09-01,8.36%,6.42%,3.88%,-26.48%,-0.16%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-10-01,5.98%,-9.05%,-7.11%,-20.09%,3.84%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-11-01,-10.62%,-10.27%,-5.12%,-43.59%,-23.00%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2023-12-01,33.01%,20.23%,-12.98%,-0.58%,26.18%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-01-01,-18.51%,-22.48%,-5.85%,-21.17%,-12.62%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-02-01,-11.57%,0.59%,-7.37%,-1.18%,-3.74%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-03-01,-19.54%,-2.69%,3.68%,-33.65%,5.50%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-04-01,20.67%,27.55%,2.23%,11.63%,-2.98%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-05-01,-19.85%,-21.42%,6.01%,-11.23%,-11.00%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-06-01,-5.61%,1.81%,-0.40%,-7.75%,-6.76%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-07-01,-10.93%,-5.87%,6.62%,-13.62%,4.80%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-08-01,-7.78%,49.31%,-8.24%,26.95%,-11.36%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-09-01,-14.33%,-5.70%,7.77%,-19.54%,1.47%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-10-01,19.24%,13.85%,-6.01%,3.11%,-11.08%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-11-01,-14.05%,22.27%,-12.97%,-8.45%,-11.98%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2024-12-01,-8.49%,3.70%,-9.84%,-18.01%,-6.45%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2025-01-01,-5.48%,-12.82%,4.92%,-15.80%,4.82%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
2025-02-01,-6.23%,-15.28%,-7.54%,-11.91%,-11.90%,,,21.69,-5.99,-13.7,6.3,-20.93,4.95
