,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
1998-01-01,19.5%,-4.4%,4.0%,15.2%,-7.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-02-01,-8.2%,-24.1%,-3.4%,-10.0%,5.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-03-01,-10.7%,-1.6%,-9.6%,-10.8%,8.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-04-01,-19.6%,-17.9%,-10.9%,-13.3%,-10.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-05-01,3.6%,-2.4%,17.8%,-18.9%,-30.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-06-01,1.2%,2.4%,5.4%,91.8%,-14.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-07-01,-14.9%,-21.3%,-1.6%,-17.0%,-8.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-08-01,68.9%,13.5%,23.1%,13.5%,46.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-09-01,32.9%,12.0%,-7.6%,1.6%,1.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-10-01,-3.6%,30.2%,-8.0%,3.1%,-12.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-11-01,-9.7%,-14.2%,-2.5%,-20.3%,5.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1998-12-01,-3.7%,9.5%,8.7%,-5.1%,-2.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-01-01,7.3%,-13.0%,-5.1%,-22.0%,-3.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-02-01,22.4%,22.9%,7.5%,21.0%,-26.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-03-01,-13.6%,-11.5%,-0.3%,-6.8%,-18.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-04-01,-7.4%,-14.7%,-8.5%,0.2%,-2.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-05-01,3.4%,-2.5%,8.1%,6.9%,-19.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-06-01,20.2%,-7.1%,-6.6%,-5.3%,-17.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-07-01,3.6%,23.8%,11.0%,0.5%,-11.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-08-01,-7.9%,-16.2%,-11.0%,-2.9%,-20.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-09-01,-4.7%,9.5%,64.8%,-8.5%,-7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-10-01,3.2%,-15.8%,-8.2%,-10.2%,-18.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-11-01,3.3%,19.0%,-10.5%,-21.6%,0.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1999-12-01,1.6%,-15.1%,-7.1%,-5.7%,-1.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-01-01,15.0%,9.3%,-8.4%,-22.0%,-11.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-02-01,-8.0%,6.8%,4.1%,-6.7%,-18.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-03-01,21.2%,-2.7%,-7.3%,-13.8%,3.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-04-01,-5.6%,3.8%,-10.6%,4.2%,-8.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-05-01,-3.7%,4.3%,-5.6%,25.0%,-20.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-06-01,-2.0%,-18.9%,3.0%,-10.0%,-14.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-07-01,-11.4%,-16.5%,-15.6%,-14.0%,-18.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-08-01,-14.4%,24.8%,5.9%,2.0%,-19.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-09-01,-14.6%,0.7%,-13.5%,-10.7%,3.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-10-01,-23.9%,-0.8%,-14.1%,-15.5%,-10.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-11-01,17.2%,-13.6%,-14.7%,1.2%,-2.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2000-12-01,5.1%,14.2%,-4.8%,8.8%,-7.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-01-01,-5.8%,-12.2%,-4.3%,60.4%,-25.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-02-01,-6.6%,-13.3%,0.5%,0.6%,-4.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-03-01,-6.1%,9.6%,11.6%,7.1%,5.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-04-01,31.9%,-23.9%,-13.1%,3.0%,-12.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-05-01,0.5%,5.8%,-3.1%,-6.9%,-12.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-06-01,-5.5%,-8.6%,-2.9%,0.1%,-15.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-07-01,-1.2%,1.1%,-5.8%,-8.2%,-7.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-08-01,2.1%,16.2%,-17.9%,0.7%,4.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-09-01,-6.4%,8.4%,37.0%,98.7%,36.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-10-01,43.7%,-16.7%,-5.3%,9.1%,-9.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-11-01,7.3%,-9.6%,-10.6%,2.4%,-6.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2001-12-01,30.3%,1.8%,-6.3%,-13.7%,-15.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-01-01,-21.3%,-5.7%,-18.9%,-14.2%,-24.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-02-01,-13.7%,-24.8%,4.9%,-14.0%,-22.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-03-01,9.3%,-5.7%,7.8%,12.1%,-16.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-04-01,-23.5%,8.3%,-9.8%,-13.2%,-9.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-05-01,-14.5%,21.8%,-1.1%,-5.8%,-15.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2002-06-01,11.7%,55.3%,-2.5%,-1.6%,12.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
