,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META251017P00100000,2025-04-04 13:30:06+00:00,100.0,0.3,0.1,0.43,0.0,0.0,1.0,1,0.89257919921875,False,REGULAR,USD
1,META251017P00170000,2025-04-04 17:29:27+00:00,170.0,0.81,0.01,1.22,0.0,0.0,2.0,2,0.676761044921875,False,REGULAR,USD
2,META251017P00190000,2025-04-04 17:09:22+00:00,190.0,1.05,0.38,1.62,0.0,0.0,10.0,10,0.6562534375000001,False,REGULAR,USD
3,META251017P00250000,2025-04-07 16:39:17+00:00,250.0,3.15,3.35,3.75,0.0,0.0,17.0,9,0.6120644262695314,False,REGULAR,USD
4,META251017P00270000,2025-04-04 15:01:56+00:00,270.0,3.75,2.98,6.4,0.0,0.0,2.0,1,0.5896647479248047,False,REGULAR,USD
5,META251017P00300000,2025-04-08 19:49:49+00:00,300.0,7.56,2.84,7.15,1.7599998,30.344822,2.0,79,0.5141650146484374,False,REGULAR,USD
6,META251017P00310000,2025-04-08 16:21:27+00:00,310.0,6.05,6.15,8.15,-1.4499998,-19.333332,3.0,23,0.5349167602539062,False,REGULAR,USD
7,META251017P00320000,2025-04-08 14:15:14+00:00,320.0,5.1,8.7,9.2,-5.2000003,-50.485435,4.0,945,0.5408371112060548,False,REGULAR,USD
8,META251017P00330000,2025-04-07 14:17:01+00:00,330.0,6.77,6.9,10.4,0.0,0.0,1.0,28,0.5077258700561523,False,REGULAR,USD
9,META251017P00340000,2025-04-07 14:07:51+00:00,340.0,11.8,8.2,11.7,0.0,0.0,7.0,17,0.501683450012207,False,REGULAR,USD
10,META251017P00350000,2025-04-07 16:10:28+00:00,350.0,13.0,9.6,14.7,0.0,0.0,9.0,60,0.5065967309570312,False,REGULAR,USD
11,META251017P00360000,2025-04-08 16:02:24+00:00,360.0,12.1,14.2,16.95,-1.0999994,-8.333329,50.0,42,0.5233507138061523,False,REGULAR,USD
12,META251017P00370000,2025-04-07 15:51:58+00:00,370.0,15.43,12.95,16.6,0.0,0.0,1.0,44,0.5067798345947265,False,REGULAR,USD
13,META251017P00380000,2025-04-07 16:31:40+00:00,380.0,17.15,16.0,18.5,0.0,0.0,54.0,114,0.49945568908691407,False,REGULAR,USD
14,META251017P00390000,2025-04-04 18:19:30+00:00,390.0,16.85,18.45,22.65,-2.1999989,-11.548551,1.0,52,0.5138751005554199,False,REGULAR,USD
15,META251017P00400000,2025-04-08 14:21:33+00:00,400.0,13.8,20.2,24.45,-4.6500006,-25.203255,2.0,113,0.5014850877380372,False,REGULAR,USD
16,META251017P00410000,2025-04-08 18:44:04+00:00,410.0,25.8,22.6,25.45,4.959999,23.800379,28.0,116,0.48064179031372073,False,REGULAR,USD
17,META251017P00420000,2025-04-08 17:56:21+00:00,420.0,23.86,25.4,29.6,-1.6700001,-6.5413237,10.0,110,0.487508176727295,False,REGULAR,USD
18,META251017P00430000,2025-04-08 19:50:49+00:00,430.0,32.05,30.0,31.0,3.5499992,12.456139,4.0,151,0.4683433293151856,False,REGULAR,USD
19,META251017P00440000,2025-04-08 18:09:45+00:00,440.0,29.55,31.8,35.6,-6.700001,-18.48276,29.0,54,0.47472143936157224,False,REGULAR,USD
20,META251017P00450000,2025-04-07 17:50:09+00:00,450.0,24.25,34.6,38.9,-7.700001,-24.100159,100.0,101,0.46843488113403325,False,REGULAR,USD
21,META251017P00460000,2025-04-08 19:53:58+00:00,460.0,41.03,38.2,40.9,3.2999992,8.746354,74.0,143,0.45073486282348635,False,REGULAR,USD
22,META251017P00470000,2025-04-08 15:42:14+00:00,470.0,44.73,42.75,44.65,3.4799995,8.436362,7.0,147,0.44508916732788084,False,REGULAR,USD
23,META251017P00480000,2025-04-08 18:05:12+00:00,480.0,43.4,46.25,48.65,-2.0,-4.4052863,13.0,243,0.43967235137939453,False,REGULAR,USD
24,META251017P00490000,2025-04-08 19:51:02+00:00,490.0,54.23,50.1,52.8,5.9399986,12.30068,16.0,168,0.4337062245178223,False,REGULAR,USD
25,META251017P00500000,2025-04-08 17:56:21+00:00,500.0,50.54,54.3,57.2,-3.459999,-6.407406,9.0,350,0.4279003133392334,False,REGULAR,USD
