,dte,underlying_price,put_call_volume_ratio,put_call_oi_ratio,call_iv,put_iv,iv_skew
2025-04-11,1,354.55999755859375,0.7713383352571502,0.5801424235349054,0.7754015903145927,0.6869538140869141,-0.08844777622767852
2025-04-17,7,354.55999755859375,0.7353089462775194,0.6359895345124175,0.6321971071951731,0.5677184690638952,-0.06447863813127785
2025-04-25,15,354.55999755859375,0.5254030288226673,0.8626830445743711,0.5610221074567522,0.5181148216901507,-0.04290728576660152
2025-05-02,22,354.55999755859375,0.598057477381586,0.6993823257623657,0.5664454628208706,0.527252565133231,-0.03919289768763956
2025-05-09,29,354.55999755859375,0.303449894390988,0.9528420093404716,0.5251730309622629,0.4834123227364676,-0.04176070822579525
2025-05-16,36,354.55999755859375,0.7455311397016965,0.6970189430277344,0.4907408278547014,0.4708522851126535,-0.019888542742047932
2025-05-23,43,354.55999755859375,0.244752308984047,1.3773584905660377,0.4807669111328125,0.438674000592913,-0.0420929105398995
2025-06-20,71,354.55999755859375,0.4992259063346665,0.688161860088881,0.43148064339773995,0.3809876354980469,-0.050493007899693076
2025-07-18,99,354.55999755859375,0.6488816402609506,0.5069642457266552,0.40518783294677735,0.3606108163888114,-0.044577016557965976
2025-08-15,127,354.55999755859375,0.9546049759930162,1.54976636145099,0.4044859356689453,0.3377381203133719,-0.06674781535557339
2025-09-19,162,354.55999755859375,1.003076923076923,0.9870897838502929,0.38870469089508053,0.3243819088363647,-0.06432278205871583
2025-10-17,190,354.55999755859375,1.0631443298969072,1.5470724086401304,0.3805364158194406,0.30735817509242463,-0.07317824072701595
2025-12-19,253,354.55999755859375,1.1551894563426688,1.2397809282026415,0.363274538356236,0.2889257422310965,-0.0743487961251395
2026-01-16,281,354.55999755859375,0.6832249162231421,0.8528323202347129,0.3570141377912249,0.28246479958670473,-0.07454933820452014
2026-03-20,344,354.55999755859375,1.2425328554360813,0.8496861841582585,0.3516414628982544,0.2735058001708984,-0.07813566272735595
