,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT250523C00335000,2025-04-04 17:16:22+00:00,335.0,40.0,34.65,36.65,0.0,0.0,2,2,0.5110522528076171,True,REGULAR,USD
1,MSFT250523C00340000,2025-04-07 14:18:55+00:00,340.0,36.05,31.2,32.95,-0.95000076,-2.5675697,2,32,0.5145922564697265,True,REGULAR,USD
2,MSFT250523C00350000,2025-04-04 16:41:21+00:00,350.0,27.58,24.7,26.95,-2.460001,-8.189084,102,1,0.49918103363037114,True,REGULAR,USD
3,MSFT250523C00360000,2025-04-08 18:33:36+00:00,360.0,19.88,19.35,21.25,0.87999916,4.6315746,122,103,0.4775137698364258,False,REGULAR,USD
4,MSFT250523C00365000,2025-04-08 16:54:31+00:00,365.0,18.85,16.8,18.2,2.6000004,16.000002,101,14,0.4577690942382813,False,REGULAR,USD
5,MSFT250523C00370000,2025-04-08 15:04:26+00:00,370.0,14.95,14.5,16.15,-0.05000019,-0.3333346,20,9,0.45477840148925786,False,REGULAR,USD
6,MSFT250523C00375000,2025-04-08 17:29:06+00:00,375.0,12.9,12.0,13.3,-0.10000038,-0.7692337,51,54,0.43158527404785163,False,REGULAR,USD
7,MSFT250523C00380000,2025-04-08 19:46:55+00:00,380.0,9.8,10.55,11.4,-1.0999994,-10.091738,523,25,0.42426112854003906,False,REGULAR,USD
8,MSFT250523C00385000,2025-04-08 19:02:47+00:00,385.0,9.45,8.35,9.7,0.25,2.7173913,555,38,0.417425259399414,False,REGULAR,USD
9,MSFT250523C00390000,2025-04-08 15:33:40+00:00,390.0,7.0,6.25,7.9,-3.0,-30.0,76,35,0.4041197283935547,False,REGULAR,USD
10,MSFT250523C00395000,2025-04-08 14:25:13+00:00,395.0,6.9,5.2,7.2,0.6800003,10.932481,74,70,0.41370215209960937,False,REGULAR,USD
11,MSFT250523C00400000,2025-04-08 19:59:43+00:00,400.0,5.05,4.5,5.95,0.35000038,7.446817,97,64,0.4062864547729492,False,REGULAR,USD
12,MSFT250523C00405000,2025-04-08 17:29:33+00:00,405.0,3.85,2.98,4.7,0.25,6.9444447,61,13,0.3942321319580079,False,REGULAR,USD
13,MSFT250523C00410000,2025-04-08 17:22:50+00:00,410.0,3.31,2.56,4.0,0.029999971,0.9146333,105,53,0.3944762701416016,False,REGULAR,USD
14,MSFT250523C00415000,2025-04-08 16:41:52+00:00,415.0,2.71,1.69,3.05,0.53,24.311924,35,29,0.382269360961914,False,REGULAR,USD
15,MSFT250523C00420000,2025-04-08 18:44:06+00:00,420.0,2.0,1.36,2.46,0.19000006,10.497241,40,27,0.37842418457031246,False,REGULAR,USD
16,MSFT250523C00425000,2025-04-08 16:30:25+00:00,425.0,1.78,1.08,1.81,0.41999996,30.882349,187,19,0.367193828125,False,REGULAR,USD
17,MSFT250523C00430000,2025-04-08 19:57:46+00:00,430.0,1.2,0.98,1.45,0.26000005,27.65958,199,125,0.36511865356445317,False,REGULAR,USD
18,MSFT250523C00435000,2025-04-07 15:09:20+00:00,435.0,1.11,0.47,1.33,0.15000004,15.625005,3,17,0.37439590454101557,False,REGULAR,USD
19,MSFT250523C00440000,2025-04-08 15:42:05+00:00,440.0,0.68,0.25,1.41,-0.45,-39.82301,9,1,0.39514765014648445,False,REGULAR,USD
20,MSFT250523C00445000,2025-04-04 14:27:21+00:00,445.0,0.45,0.18,1.1,-0.82,-64.56693,8,2,0.3902648864746094,False,REGULAR,USD
21,MSFT250523C00450000,2025-04-04 17:36:35+00:00,450.0,1.0,0.02,0.98,0.0,0.0,2,2,0.39600213378906257,False,REGULAR,USD
22,MSFT250523C00460000,2025-04-08 16:16:19+00:00,460.0,0.29,0.04,0.78,0.03999999,15.999996,8,7,0.407232490234375,False,REGULAR,USD
