,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN260320C00095000,2025-04-07 13:52:49+00:00,95.0,83.55,79.05,87.0,0.0,0.0,3,6,0.6458775646972656,True,REGULAR,USD
1,AMZN260320C00100000,2025-04-07 16:44:08+00:00,100.0,79.4,77.45,79.95,0.0,0.0,34,71,0.6237220245361328,True,REGULAR,USD
2,AMZN260320C00105000,2025-04-07 14:35:42+00:00,105.0,75.9,73.15,75.75,0.0,0.0,2,3,0.6032754516601564,True,REGULAR,USD
3,AMZN260320C00110000,2025-04-04 19:23:32+00:00,110.0,73.35,69.3,71.4,0.0,0.0,22,25,0.5861857788085938,True,REGULAR,USD
4,AMZN260320C00115000,2025-04-07 19:09:04+00:00,115.0,69.0,65.25,67.45,0.0,0.0,1,25,0.5704999005126954,True,REGULAR,USD
5,AMZN260320C00120000,2025-04-04 19:37:19+00:00,120.0,66.05,61.6,62.85,0.0,0.0,26,56,0.5507552249145509,True,REGULAR,USD
6,AMZN260320C00125000,2025-04-08 19:48:30+00:00,125.0,56.89,58.3,58.9,-2.8100014,-4.7068696,61,216,0.5412033184814455,True,REGULAR,USD
7,AMZN260320C00130000,2025-04-08 14:33:40+00:00,130.0,63.3,53.95,55.3,6.25,10.955302,1,131,0.5226488165283203,True,REGULAR,USD
8,AMZN260320C00135000,2025-04-08 17:16:36+00:00,135.0,53.97,50.25,51.95,-0.32999802,-0.60773116,2,44,0.5119982882690429,True,REGULAR,USD
9,AMZN260320C00140000,2025-04-08 14:57:04+00:00,140.0,47.75,46.85,48.25,-2.6500015,-5.2579393,4,98,0.5123034609985352,True,REGULAR,USD
10,AMZN260320C00145000,2025-04-08 16:13:58+00:00,145.0,45.0,44.05,45.15,-1.5,-3.2258065,24,44,0.5055896609497069,True,REGULAR,USD
11,AMZN260320C00150000,2025-04-08 19:52:42+00:00,150.0,40.95,41.05,41.55,-1.8499985,-4.3224263,559,744,0.488408436279297,True,REGULAR,USD
12,AMZN260320C00155000,2025-04-08 19:03:27+00:00,155.0,37.15,37.95,38.5,-1.3499985,-3.5064895,40,92,0.4792532543945312,True,REGULAR,USD
13,AMZN260320C00160000,2025-04-08 19:41:53+00:00,160.0,34.25,34.8,35.5,-2.6500015,-7.181576,26,364,0.4692130715942383,True,REGULAR,USD
14,AMZN260320C00165000,2025-04-08 14:13:23+00:00,165.0,34.5,31.9,32.9,2.6200008,8.218322,8,275,0.46381151428222656,True,REGULAR,USD
15,AMZN260320C00170000,2025-04-08 19:46:54+00:00,170.0,28.65,29.3,30.15,-3.0,-9.478673,26,267,0.45429012512207034,True,REGULAR,USD
16,AMZN260320C00175000,2025-04-08 19:39:41+00:00,175.0,26.71,27.0,27.55,-1.9300003,-6.738828,80,603,0.4453485641479492,False,REGULAR,USD
17,AMZN260320C00180000,2025-04-08 19:53:26+00:00,180.0,24.5,24.65,25.15,-2.0499992,-7.7212777,253,910,0.4377192459106446,False,REGULAR,USD
18,AMZN260320C00185000,2025-04-08 19:30:48+00:00,185.0,22.7,22.25,22.9,-1.6499996,-6.7761793,213,567,0.4306087213134766,False,REGULAR,USD
19,AMZN260320C00190000,2025-04-08 19:19:21+00:00,190.0,19.9,20.3,20.8,-2.5500011,-11.35858,145,1139,0.42398647308349613,False,REGULAR,USD
20,AMZN260320C00195000,2025-04-08 19:56:06+00:00,195.0,18.21,18.35,18.85,-2.0600014,-10.162808,539,1737,0.41785250122070305,False,REGULAR,USD
21,AMZN260320C00200000,2025-04-08 19:32:34+00:00,200.0,15.95,16.6,17.0,-1.750001,-9.887011,346,2758,0.4114743911743164,False,REGULAR,USD
22,AMZN260320C00205000,2025-04-08 19:31:14+00:00,205.0,14.75,14.65,15.3,-1.5400009,-9.453658,174,748,0.4056455920410156,False,REGULAR,USD
23,AMZN260320C00210000,2025-04-08 19:44:33+00:00,210.0,13.0,13.35,13.75,-1.6999998,-11.564625,218,1101,0.4004271383666992,False,REGULAR,USD
24,AMZN260320C00215000,2025-04-08 19:31:51+00:00,215.0,11.8,11.85,12.3,-1.4499998,-10.943395,28,1347,0.3950560983276368,False,REGULAR,USD
25,AMZN260320C00220000,2025-04-08 19:54:33+00:00,220.0,10.72,10.6,11.0,-0.7399998,-6.4572406,225,2319,0.3904479901123047,False,REGULAR,USD
26,AMZN260320C00225000,2025-04-08 16:02:30+00:00,225.0,9.48,9.4,9.8,-0.9200001,-8.846155,136,976,0.38587039916992183,False,REGULAR,USD
27,AMZN260320C00230000,2025-04-08 16:08:53+00:00,230.0,8.31,8.35,8.75,-1.1399994,-12.063486,33,905,0.382269360961914,False,REGULAR,USD
28,AMZN260320C00235000,2025-04-08 19:34:50+00:00,235.0,7.35,7.35,7.7,-0.8499999,-10.365853,71,895,0.3770203900146484,False,REGULAR,USD
29,AMZN260320C00240000,2025-04-08 19:50:00+00:00,240.0,6.3,6.55,6.8,-0.7999997,-11.267601,144,3678,0.37293107543945314,False,REGULAR,USD
30,AMZN260320C00245000,2025-04-07 19:13:39+00:00,245.0,5.75,5.65,6.15,-0.5500002,-8.730162,30,471,0.37244279907226563,False,REGULAR,USD
31,AMZN260320C00250000,2025-04-08 19:27:18+00:00,250.0,5.15,5.2,5.45,-0.6500001,-11.206898,243,4127,0.369574175415039,False,REGULAR,USD
32,AMZN260320C00255000,2025-04-08 14:36:50+00:00,255.0,4.54,4.4,4.75,-0.15999985,-3.4042523,12,620,0.36511865356445317,False,REGULAR,USD
33,AMZN260320C00260000,2025-04-08 18:46:01+00:00,260.0,4.05,3.95,4.3,-0.53999996,-11.764705,16,610,0.36524072265625,False,REGULAR,USD
34,AMZN260320C00265000,2025-04-08 19:52:21+00:00,265.0,3.6,3.5,3.7,-0.4000001,-10.000002,4,402,0.36023588989257804,False,REGULAR,USD
35,AMZN260320C00270000,2025-04-08 19:26:22+00:00,270.0,3.27,3.05,3.4,-0.30999994,-8.659217,82,808,0.36206692626953124,False,REGULAR,USD
36,AMZN260320C00275000,2025-04-08 18:20:12+00:00,275.0,2.9,2.66,3.05,-0.19999981,-6.4516068,59,368,0.36151761535644533,False,REGULAR,USD
37,AMZN260320C00280000,2025-04-07 19:35:03+00:00,280.0,2.86,2.37,2.64,0.0,0.0,9,360,0.3579165771484375,False,REGULAR,USD
38,AMZN260320C00285000,2025-04-08 17:38:11+00:00,285.0,2.35,2.05,2.33,0.14999986,6.8181753,6,222,0.3562686444091796,False,REGULAR,USD
39,AMZN260320C00290000,2025-04-08 19:10:14+00:00,290.0,2.03,1.8,2.1,-0.26999998,-11.73913,10,273,0.3563907135009765,False,REGULAR,USD
40,AMZN260320C00295000,2025-04-08 14:44:06+00:00,295.0,1.81,1.58,1.85,-0.35000014,-16.20371,10,112,0.35480381530761707,False,REGULAR,USD
41,AMZN260320C00300000,2025-04-08 19:29:45+00:00,300.0,1.55,1.43,1.65,-0.1400001,-8.28403,88,3295,0.35425450439453116,False,REGULAR,USD
42,AMZN260320C00305000,2025-04-08 15:20:27+00:00,305.0,1.49,1.25,1.48,-0.03999996,-2.6143765,4,159,0.3541324353027343,False,REGULAR,USD
43,AMZN260320C00310000,2025-04-04 18:07:16+00:00,310.0,1.44,1.12,1.34,-0.00999999,-0.68965447,2,646,0.3546207116699218,False,REGULAR,USD
44,AMZN260320C00315000,2025-04-07 16:55:19+00:00,315.0,1.28,0.98,1.2,0.18999994,17.431187,1,517,0.35443760803222646,False,REGULAR,USD
45,AMZN260320C00320000,2025-04-07 16:08:53+00:00,320.0,1.05,0.83,1.11,0.0,0.0,2,231,0.35632967895507806,False,REGULAR,USD
46,AMZN260320C00325000,2025-04-04 14:06:05+00:00,325.0,1.18,0.74,1.0,0.0,0.0,51,130,0.35645174804687496,False,REGULAR,USD
47,AMZN260320C00330000,2025-04-07 14:00:10+00:00,330.0,0.9,0.65,0.91,0.0,0.0,1,70,0.3570620935058594,False,REGULAR,USD
48,AMZN260320C00335000,2025-04-03 19:24:30+00:00,335.0,0.73,0.7,0.84,-0.20999998,-22.340424,2,25,0.35864899169921877,False,REGULAR,USD
49,AMZN260320C00340000,2025-04-04 19:19:45+00:00,340.0,0.74,0.51,0.77,0.0,0.0,3,142,0.35962554443359374,False,REGULAR,USD
50,AMZN260320C00345000,2025-04-07 13:30:00+00:00,345.0,0.56,0.45,0.7,0.0,0.0,3,38,0.3601138208007812,False,REGULAR,USD
51,AMZN260320C00350000,2025-04-07 14:43:23+00:00,350.0,0.51,0.44,0.61,-0.18,-26.086956,1,329,0.3582827844238281,False,REGULAR,USD
52,AMZN260320C00355000,2025-04-07 17:50:06+00:00,355.0,0.52,0.46,0.6,0.0,0.0,11,128,0.36304347900390627,False,REGULAR,USD
53,AMZN260320C00360000,2025-04-08 19:53:15+00:00,360.0,0.52,0.42,0.52,-0.08000004,-13.333339,38,3257,0.36084623535156246,False,REGULAR,USD
